/N0/D (L=1) X,/N0/D (L=1) Y,/N0/D (L=2) X,/N0/D (L=2) Y,/N0/D (L=5) X,/N0/D (L=5) Y,/N0/D (L=10) X,/N0/D (L=10) Y,/N0/D (L=25) X,/N0/D (L=25) Y,/N0/D (L=50) X,/N0/D (L=50) Y
1.6,1.473887570741079e-05,1.6,1.639271105991669e-05,1.6,1.806828888480956e-05,1.6,1.877870901798795e-05,1.6,1.927080305696172e-05,1.6,1.94380907393345e-05
1.7,1.477635535594632e-05,1.7,1.642169414294611e-05,1.7,1.808482847515623e-05,1.7,1.878998268790562e-05,1.7,1.927896931623151e-05,1.7,1.944413616350341e-05
1.8,1.481326552269033e-05,1.8,1.645034064193925e-05,1.8,1.810120270730761e-05,1.8,1.880116021097717e-05,1.8,1.928707953449746e-05,1.8,1.94501348173586e-05
1.900000000000001,1.484971762124127e-05,1.900000000000001,1.647871842477302e-05,1.900000000000001,1.811744601113336e-05,1.900000000000001,1.881226272955884e-05,1.900000000000001,1.929514733115201e-05,1.900000000000001,1.945609859341199e-05
2,1.488579718786237e-05,2,1.650687910659391e-05,2,1.813358407332543e-05,2,1.882330567830273e-05,2,1.93031823537495e-05,2,1.946203581240371e-05
2.100000000000001,1.49215709869393e-05,2.100000000000001,1.65348626461865e-05,2.100000000000001,1.814963644828413e-05,2.100000000000001,1.883430057966271e-05,2.100000000000001,1.931119160321299e-05,2.100000000000001,1.946795244000219e-05
2.200000000000001,1.495709189563091e-05,2.200000000000001,1.656270046431119e-05,2.200000000000001,1.816561828592607e-05,2.200000000000001,1.88452562042889e-05,2.200000000000001,1.931918026799061e-05,2.200000000000001,1.947385284562624e-05
2.300000000000001,1.499240233787795e-05,2.300000000000001,1.65904176108237e-05,2.300000000000001,1.818154150630626e-05,2.300000000000001,1.885617934298712e-05,2.300000000000001,1.932715226520527e-05,2.300000000000001,1.947974029029247e-05
2.400000000000001,1.502753674693782e-05,2.400000000000001,1.66180343030137e-05,2.400000000000001,1.819741561724463e-05,2.400000000000001,1.886707533347359e-05,2.400000000000001,1.933511060115856e-05,2.400000000000001,1.948561724874284e-05
2.500000000000001,1.50625233627898e-05,2.500000000000001,1.664556703836222e-05,2.500000000000001,1.821324829546051e-05,2.500000000000001,1.887794842796979e-05,2.500000000000001,1.934305761720518e-05,2.500000000000001,1.949148562724186e-05
2.600000000000001,1.509738556506414e-05,2.600000000000001,1.667302941312615e-05,2.600000000000001,1.822904580736602e-05,2.600000000000001,1.888880205490493e-05,2.600000000000001,1.935099516100055e-05,2.600000000000001,1.949734691397893e-05
2.700000000000001,1.513214287579857e-05,2.700000000000001,1.670043273371505e-05,2.700000000000001,1.824481331887549e-05,2.700000000000001,1.889963900859517e-05,2.700000000000001,1.935892470803941e-05,2.700000000000001,1.950320228492021e-05
2.800000000000001,1.516681172368943e-05,2.800000000000001,1.67277864796148e-05,2.800000000000001,1.826055512695217e-05,2.800000000000001,1.891046158895645e-05,2.800000000000001,1.936684744939297e-05,2.800000000000001,1.950905267959352e-05
2.900000000000001,1.520140603351814e-05,2.900000000000001,1.675509865830261e-05,2.900000000000001,1.827627483503236e-05,2.900000000000001,1.892127170592651e-05,2.900000000000001,1.93747643560292e-05,2.900000000000001,1.951489885619769e-05
